State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
CA,Colusa County,"4,130","3,132","4,123","2,124",30.6,23.2,30.5,15.7
CA,Contra Costa County,"83,698","137,219","233,710","312,505",10.9,17.9,30.5,40.7
CA,Del Norte County,"3,581","6,230","6,809","2,804",18.4,32.1,35.1,14.4
CA,El Dorado County,"9,425","28,481","50,590","44,248",7.1,21.5,38.1,33.3
CA,Fresno County,"149,076","134,373","186,653","118,389",25.3,22.8,31.7,20.1
CA,Glenn County,"4,929","4,891","5,779","2,328",27.5,27.3,32.2,13
CA,Humboldt County,"8,635","21,962","33,878","26,884",9.5,24,37.1,29.4
CA,Imperial County,"34,282","25,530","33,212","15,498",31.6,23.5,30.6,14.3
CA,Inyo County,"1,502","4,014","4,370","3,344",11.4,30.3,33,25.3
CA,Kern County,"137,823","145,694","159,688","83,081",26.2,27.7,30.3,15.8
CA,Kings County,"24,879","23,477","31,542","11,991",27.1,25.5,34.3,13
CA,Lake County,"7,091","14,042","18,137","7,116",15.3,30.3,39.1,15.3
CA,Lassen County,"3,960","7,265","8,416","2,781",17.7,32.4,37.5,12.4
CA,Los Angeles County,"1,485,760","1,408,905","1,782,880","2,124,306",21.8,20.7,26.2,31.2
CA,Madera County,"27,278","23,827","31,695","13,296",28.4,24.8,33,13.8
CA,Marin County,"12,898","21,448","46,833","109,876",6.8,11.2,24.5,57.5
CA,Mariposa County,"1,350","3,852","5,119","3,335",9.9,28.2,37.5,24.4
CA,Mendocino County,"8,079","16,180","22,129","15,285",13.1,26.2,35.9,24.8
CA,Merced County,"48,703","39,302","47,016","21,541",31.1,25.1,30,13.8
CA,Modoc County,993,"2,087","2,636","1,136",14.5,30.5,38.5,16.6
CA,Mono County,"1,480","1,835","3,320","3,057",15.3,18.9,34.3,31.5
CA,Monterey County,"78,790","56,609","72,720","65,441",28.8,20.7,26.6,23.9
CA,Napa County,"14,952","17,725","31,392","33,855",15.3,18.1,32.1,34.6
CA,Nevada County,"4,839","13,885","29,414","26,874",6.5,18.5,39.2,35.8
CA,Orange County,"326,035","369,128","603,879","833,116",15.3,17.3,28.3,39.1
CA,Placer County,"14,460","49,705","98,866","97,771",5.5,19.1,37.9,37.5
CA,Plumas County,931,"3,686","6,592","3,271",6.4,25.5,45.5,22.6
CA,Riverside County,"283,792","395,824","497,987","322,935",18.9,26.4,33.2,21.5
CA,Sacramento County,"129,295","224,145","345,169","297,586",13,22.5,34.6,29.9
CA,San Benito County,"7,808","9,212","13,167","7,170",20.9,24.7,35.2,19.2
CA,San Bernardino County,"273,160","344,417","436,051","259,670",20.8,26.2,33.2,19.8
CA,San Diego County,"292,200","408,582","675,349","820,914",13.3,18.6,30.7,37.4
CA,San Francisco County,"82,618","84,072","135,318","381,066",12.1,12.3,19.8,55.8
CA,San Joaquin County,"97,190","123,399","148,765","81,503",21.6,27.4,33,18.1
